"NAVN","PARTI","STORKREDS","FACEBOOKSIDE","fbname","likes","talking.about","date"
"Thomas Danielsen","Venstre","Vestjyllands Storkreds","https://www.facebook.com/pages/Thomas-Danielsen/368634453338332","Thomas Danielsen",6674,2138,"10-06-2015"
"Thomas Haslund Høj","Radikale Venstre","Nordjyllands Storkreds","https://www.facebook.com/thomashoejifolketinget","Thomas H�j i Folketinget",227,122,"10-06-2015"
"Thomas Jensen","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/thomasjensensilkeborg","Thomas Jensen",5545,1144,"10-06-2015"
"Thomas Lunden","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/thomaslundenfv2015","Thomas Lunden i Folketinget - Liberal Alliance",102,5,"10-06-2015"
"Thomas Risum Rasmussen","Alternativet","Østjyllands Storkreds","https://www.facebook.com/Thomas.Risum.Rasmussen","Thomas Risum Rasmussen - Alternativet �stjylland",173,339,"10-06-2015"
"Thomas Vesth","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/pages/Thomas-Vesth-Folketingskandidat/545409268867936","Thomas Vesth - Folketingskandidat",241,19,"10-06-2015"
"Thorkild Gruelund","Det Konservative Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/Thorkild.dk","Thorkild Gruelund Konservativ politiker",336,128,"10-06-2015"
"Thyra Frank","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/pages/Thyra-Frank/217139118403377","Thyra Frank",6746,1248,"10-06-2015"
"Tilde Bork","Dansk Folkeparti","Østjyllands Storkreds","https://www.facebook.com/TildeBork","Tilde Bork - Dansk Folkeparti",830,97,"10-06-2015"
"Tina Franson Spile","Det Konservative Folkeparti","Sydjyllands Storkreds","https://www.facebook.com/TinaFransonSpileC","Tina Franson Spile - Det Konservative Folkeparti",90,31,"10-06-2015"
"Tina Kjær","Alternativet","Østjyllands Storkreds","https://www.facebook.com/tinakjaeralternativet","Tina Kj�r",556,13735,"10-06-2015"
"Tina Nedergaard","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/pages/Tina-Nedergaard/782955565102811","Tina Nedergaard",1244,297,"10-06-2015"
"Tobias Clausen","Enhedslisten","Københavns Omegns Storkreds","https://www.facebook.com/tobiasclausen123","Tobias Clausen",2455,2117,"10-06-2015"
"Tom Block Larsen","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/tom.block.larsen","Tom Block Larsen",664,273,"10-06-2015"
"Tommy Højegaard","Liberal Alliance","Nordsjællands Storkreds","https://www.facebook.com/TommyHoje","Tommy H�jegaard - Liberal Alliance",228,36,"10-06-2015"
"Tonny Vest","Liberal Alliance","Fyns Storkreds","https://www.facebook.com/pages/Tonny-Vest-i-Folketinget/271816223018041","Tonny Vest i Folketinget for Liberal Alliance",246,70,"10-06-2015"
"Torben Anton Hansen","Enhedslisten","Vestjyllands Storkreds","https://www.facebook.com/pages/Torben-A-Hansen/1473028389650436","Torben A. Hansen",139,19,"10-06-2015"
"Torben Overgaard","Det Konservative Folkeparti","Nordjyllands Storkreds","https://www.facebook.com/torbenovergaardlistec","Torben Overgaard",534,227,"10-06-2015"
"Torsten Gejl","Alternativet","Nordjyllands Storkreds","https://www.facebook.com/torsten.gejl","Torsten Gejl",1436,620,"10-06-2015"
"Torsten Schack Pedersen","Venstre","Nordjyllands Storkreds","https://www.facebook.com/tschackpedersen","Torsten Schack Pedersen",3320,1030,"10-06-2015"
"Tove Videbæk","Det Konservative Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/tovevidebaek","Tove Videb�k - i Folketinget",320,86,"10-06-2015"
"Trine Bramsen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/TrineBramsen","Trine Bramsen",6291,1289,"10-06-2015"
"Trine Schøning Torp","Socialistisk Folkeparti","Nordsjællands Storkreds","https://www.facebook.com/sftrine","Trine Torp",656,350,"10-06-2015"
"Troels Lund Poulsen","Venstre","Østjyllands Storkreds","http://www.facebook.com/TroelsLundPoulsen","Troels Lund Poulsen",3352,704,"10-06-2015"
"Troels Ravn","Socialdemokratiet","Sydjyllands Storkreds","http://www.facebook.com/Troels.Ravn.A","Troels Ravn",1623,829,"10-06-2015"
"Uffe Elbæk","Alternativet","Københavns Storkreds","https://www.facebook.com/pages/Uffe-Elb%C3%A6k/235501083187697","Uffe Elb�k",15724,3364,"10-06-2015"
"Ulla Birk Johansen","Socialistisk Folkeparti","Sjællands storkreds","https://www.facebook.com/Sfullabirk","Folketingskandidat Ulla Birk Johansen",410,162,"10-06-2015"
"Ulla Sandbæk","Alternativet","Københavns omegns Storkreds","https://www.facebook.com/pages/Ulla-Sandb%C3%A6k-Alternativet-KBH-Omegn/328966680624614","Ulla Sandb�k - Alternativet",392,86,"10-06-2015"
"Ulla Sørensen","Alternativet","Nordjyllands Storkreds","https://www.facebook.com/Ulla.Berndt.Soerensen","Ulla Berndt S�rensen",113,36,"10-06-2015"
"Uzma A. Andresen","Alternativet","Københavns Storkreds","https://www.facebook.com/uzmaahmedalternativet","Uzma Ahmed",1590,590,"10-06-2015"
"Vibeke Genefke","Alternativet","Østjyllands Storkreds","https://www.facebook.com/vibeke.genefke","Vibeke Genefke - Alternativet �stjylland",425,202,"10-06-2015"
"Vibeke Hellmann","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/pages/Vibeke-Hellmann-i-Folketinget-for-Liberal-Alliance/105492282867515","Vibeke Hellmann i Folketinget for Liberal Alliance",311,103,"10-06-2015"
"Vibeke Nørly","Venstre","Sjællands Storkreds","https://www.facebook.com/VibekeNorlyVenstre","Vibeke N�rly",308,113,"10-06-2015"
"Vibeke Syppli Enrum","Enhedslisten","Fyns Storkreds","https://www.facebook.com/pages/Vibeke-Syppli-Enrum-Kandidat-for-Enhedslisten/137714939618757","Vibeke Syppli Enrum - Kandidat for Enhedslisten",371,261,"10-06-2015"
"Victoria Ninosca Risbjerg Velasquez","Enhedslisten","Københavns Storkreds","https://www.facebook.com/victoriarisbjerg","Victoria Ninosca Risbjerg Velasquez",857,194,"10-06-2015"
"Villum Christensen","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/villum.christensen","Villum Christensen",3576,520,"10-06-2015"
"Yahya Hassan","Nationalpartiet","Østjyllands Storkreds","https://www.facebook.com/pages/Yahya-Hassan/344462079023258","Yahya Hassan",39210,6670,"10-06-2015"
"Yildiz Akdogan","Socialdemokratiet","Københavns Storkreds","https://www.facebook.com/pages/Yildiz-Akdogan/181106225260438","Yildiz Akdogan",8154,2516,"10-06-2015"
"Zenia Stampe","Radikale Venstre","Sjællands Storkreds","https://www.facebook.com/zeniastampe","Zenia Stampe",38288,108627,"10-06-2015"
"Ömer Ciftci","Venstre","Københavns Omegns Storkreds","https://www.facebook.com/OmerCiftciVenstre","�mer Ciftci",257,53,"10-06-2015"
"Özkan Ekiz","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/ekizozkan","�zkan Ekiz",814,306,"10-06-2015"
"Özlem Sara Cekic","Socialistisk Folkeparti","Københavns storkreds","http://www.facebook.com/pages/%C3%96zlem-Cekic/47520761764","�zlem Cekic",40842,42457,"10-06-2015"
"Aamer Ahmad","Nationalpartiet","Sjællands Storkreds","https://www.facebook.com/aamer.ahmad","Aamer Ahmad",704,157,"11-06-2015"
"Abir Al-kalemji","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/pages/Abir-Al-kalemji/527684960623598","Abir Al-kalemji",450,194,"11-06-2015"
"Aleks Jensen","Nationalpartiet","Nordsjællands Storkreds","https://www.facebook.com/pages/Aleks-Jensen/648662665278105","Aleks Jensen",214,26,"11-06-2015"
"Anahita Malakians","Venstre","Københavns Storkreds","https://www.facebook.com/anahitapolitik","Anahita Malakians",332,145,"11-06-2015"
"Anders Broholm","Venstre","Nordjyllands Storkreds","https://www.facebook.com/stembroholm","Anders Broholm",1791,905,"11-06-2015"
"Anders Buhl Christensen","Venstre","Østjyllands Storkreds","https://www.facebook.com/AndersBuhlVenstre","Anders Buhl-Christensen",585,282,"11-06-2015"
"Anders Houdam Andreasen","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/Anders.Andreasen.S","Anders Andreasen",52,19,"11-06-2015"
"Anders Johansson","Det Konservative Folkeparti","Fyns Storkreds","https://www.facebook.com/andersretzjohansson","Anders Johansson",1528,398,"11-06-2015"
"Anders Kirkeby","Liberal Alliance","Fyns storkreds","https://www.facebook.com/AndersKirkebyFV15","Anders Kirkeby i Folketinget",356,135,"11-06-2015"
"Anders Samuelsen","Liberal Alliance","Nordsjællands Storkreds","http://www.facebook.com/AndersSamuelsenLA","Anders Samuelsen",57784,42990,"11-06-2015"
"Anders Stenumgaard Lind","Alternativet","Østjyllands Storkreds","https://www.facebook.com/pages/Anders-Stenumgaard-Lind/401098386718111","Anders Stenumgaard Lind",44,1,"11-06-2015"
"Anders Udengaard","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/udengaard","Anders Udengaard",113,67,"11-06-2015"
"Andreas Albertsen","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/andreas.albertsen","Andreas Albertsen",2666,494,"11-06-2015"
"Andreas Hastrup","Liberal Alliance","Sjællands Storkreds","https://www.facebook.com/pages/Andreas-Hastrup-Liberal-Alliance/547569822031033","Andreas Hastrup     Liberal Alliance",1294,365,"11-06-2015"
"Andreas Pourkamali","Radikale Venstre","Københavns Omegns Storkreds","https://www.facebook.com/andreas.pourkamali","Andreas Pourkamali",992,594,"11-06-2015"
"Andreas Steenberg","Radikale Venstre","Vestjyllands Storkreds","https://www.facebook.com/andreas.steenberg.1","Andreas Steenberg",2099,592,"11-06-2015"
"Ane Halsboe-Jørgensen","Socialdemokratiet","Nordjyllands Storkreds","https://www.facebook.com/stemhalsboe","Ane Halsboe-J�rgensen",3453,1637,"11-06-2015"
"Anette Skafte","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/pages/DF-Anette-Skafte/776586579040173","DF Anette Skafte",243,17,"11-06-2015"
"Anna Hede Christensen","Dansk Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/AnnahedeDF","Anna Hede Christensen - Dansk Folkeparti",502,129,"11-06-2015"
"Anna Møbjerg","Nationalpartiet","Sydjyllands Storkreds","https://www.facebook.com/annamobjerg","Anna M�bjerg",243,64,"11-06-2015"
"Anne Hegelund","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/annehegelund.dk","Anne Hegelund",778,345,"11-06-2015"
"Anne Marie Geisler Andersen","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/anne.marie.geisler.andersen.politiker","Anne Marie Geisler Andersen",793,110,"11-06-2015"
"Anne Paulin","Socialdemokratiet","Vestjyllands Storkreds","https://www.facebook.com/AnnePaulin2","Anne Paulin",1841,1051,"11-06-2015"
"Anne Thomas","Alternativet","Bornholms Storkreds","https://www.facebook.com/AnnesPolitiskeGarage","Annes Politiske Garage",227,30,"11-06-2015"
"Annette Bolvig","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/kv13.annettebolvig","Annette Bolvig i folketinget",221,28,"11-06-2015"
"Annette Vilhelmsen","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/annettevilhelmsen","Annette Vilhelmsen",7137,387,"11-06-2015"
"Arly Eskildsen","Socialistisk Folkeparti","Københavns Omegn","https://www.facebook.com/ArlyEskildsenSF","Arly Eskildsen",455,131,"11-06-2015"
"Arne Lindberg Callesen","Enhedslisten","Sydjyllands Storkreds","https://www.facebook.com/pages/Arne-Lindberg-Callesen/617789344946501","Arne Lindberg Callesen",44,1,"11-06-2015"
"Asif Ahmad","Nationalpartiet","Københavns Omegns Storkreds","https://www.facebook.com/pages/Asif-Ahmad/287062144826078","Asif Ahmad",501,94,"11-06-2015"
"Astrid Krag","Socialdemokratiet","Sjællands Storkreds","https://www.facebook.com/astrid.krag","Astrid Krag",21232,4925,"11-06-2015"
"August Vigen Smolarz","Socialistisk Folkeparti","Vestjyllands storkreds","https://www.facebook.com/augustvigensmolarz","August Vigen Smolarz",435,244,"11-06-2015"
"Balder Mørk Andersen","Socialistisk Folkeparti","Københavns storkreds","https://www.facebook.com/stembalder","Balder M�rk Andersen",385,95,"11-06-2015"
"BENEDIKTE ASK SKOTTE","Venstre","Sjællands Storkreds","https://www.facebook.com/pages/Benedikte-Ask-Skotte/536682579767128","Benedikte Ask Skotte",739,258,"11-06-2015"
"Benny Dall","Enhedslisten","Sydjyllands Storkreds","https://www.facebook.com/Koldingpolitik","Benny Dall",1012,3,"11-06-2015"
"Benny Engelbrecht","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/BennyEngelbrecht","Benny Engelbrecht",7659,2099,"11-06-2015"
"Bertel Haarder","Venstre","Sjællands Storkreds","https://www.facebook.com/BertelHaarder","Bertel Haarder",8505,3506,"11-06-2015"
"Bina Seff","Alternativet","Nordsjællands Storkreds","https://www.facebook.com/binaalt","Bina Seff - Alternativet",411,71,"11-06-2015"
"Birgitte Kjøller Pedersen","Socialistisk Folkeparti","Bornholm","https://www.facebook.com/pages/Birgitte-Kj%C3%B8ller-Pedersen/123520157707593","Birgitte Kj�ller Pedersen",168,15,"11-06-2015"
"Birgitte Nymann","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/BirgitteNymannLA","Birgitte Nymann - Liberal Alliance",90,51,"11-06-2015"
"Bjarke Charlie Serritslev","Alternativet","Sydjyllands Storkreds","https://www.facebook.com/BjarkeCharlie","Bjarke Charlie Serritslev",460,127,"11-06-2015"
"Bjarne Andersen","Socialistisk Folkeparti","Østjyllands storkreds","https://www.facebook.com/favrskovifolketinget","Bjarne Andersen i Folketinget",430,104,"11-06-2015"
"Bjarne Corydon","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/pages/Bjarne-Corydon/381757188518818","Bjarne Corydon",10048,1218,"11-06-2015"
"Bjarne Laustsen","Socialdemokratiet","Nordjyllands Storkreds","http://www.facebook.com/b.laustsen","Bjarne Laustsen",1323,676,"11-06-2015"
"Bjarne Lundgaard","Det Konservative Folkeparti","Østjyllands Storkreds","https://www.facebook.com/folketingskandidatbjarnelundgaard","Bjarne Lundgaard",88,109,"11-06-2015"
"Bjørn Bjerrehøj","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/BjornBjerrehoj","Bj�rn Bjerreh�j",270,99,"11-06-2015"
"Bo Fink","Enhedslisten","Nordjylland","https://www.facebook.com/pages/Bo-Fink/1416187805353623","Bo Fink",57,45,"11-06-2015"
"Bo Ritterbusch","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/pages/Bo-Ritterbusch/147949771940746","Bo Ritterbusch",359,30,"11-06-2015"
"Bo Steen Mikkelsen","Alternativet","Københavns omegns Storkreds","https://www.facebook.com/bosteenalternativet","Bo Steen Mikkelsen",568,337,"11-06-2015"
"Bodil Kvistgaard Olsen","Enhedslisten","Østjyllands Storkreds","https://www.facebook.com/favrskovft15","Bodil Kvistgaard Olsen",106,34,"11-06-2015"
"Brian Mikkelsen","Det Konservative Folkeparti","Sjællands Storkreds","http://www.facebook.com/pages/Brian-Mikkelsen/113836012012239","Brian Mikkelsen",12151,2995,"11-06-2015"
"Brigitte Klintskov Jerkel","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/BrigitteKlintskovJerkel","Brigitte Klintskov Jerkel",2689,667,"11-06-2015"
"Britt Bager","Venstre","Østjyllands Storkreds","https://www.facebook.com/stembrittbager","Britt Bager",5073,1324,"11-06-2015"
"Camilla Hersom","Radikale Venstre","Fyns Storkreds","https://www.facebook.com/camillahersom","Camilla Hersom",2268,364,"11-06-2015"
"Camilla Kampmann","Radikale Venstre","Nordsjællands Storkreds","https://www.facebook.com/radikalecamillakampmann","Camilla Kampmann",263,134,"11-06-2015"
"Carl Beck","Liberal Alliance","Bornholms Storkreds","https://www.facebook.com/pages/Carl-Beck/413851185456518","Carl Beck",265,2,"11-06-2015"
"Carl Holst","Venstre","Sydjyllands Storkreds","https://www.facebook.com/carlholstvenstre","Carl Holst",5506,659,"11-06-2015"
"Carl Valentin","Socialistisk Folkeparti","Fyns storkreds","https://www.facebook.com/CarlValentinSF","Carl Valentin",3387,1954,"11-06-2015"
"Carolina Magdalene Maier","Alternativet","Københavns Storkreds","https://www.facebook.com/carolinamagdalene","Carolina Magdalene Maier",1195,437,"11-06-2015"
"Carsten Bach","Liberal Alliance","Østjyllands Storkreds","https://www.facebook.com/carstenbachifolketinget","Carsten Bach i Folketinget",248,74,"11-06-2015"
"Carsten Hansen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/tillidogtryghed","Carsten Hansen",5378,687,"11-06-2015"
"Carsten Zacho","Liberal Alliance","Københavns Omegns Storkreds","https://www.facebook.com/carsten.m.zacho","Carsten Zacho",234,40,"11-06-2015"
"Casper Karup Hedegaard","Radikale Venstre","Østjyllands Storkreds","https://www.facebook.com/casperkarup","Casper Karup Hedegaard",407,55,"11-06-2015"
"Casper Strunge","Det Konservative Folkeparti","Københavns Omegns Storkreds","https://www.facebook.com/cstrunge","Casper Strunge",2606,447,"11-06-2015"
"Charlotte Rosenberg","Venstre","Vestjyllands Storkreds","https://www.facebook.com/pages/Charlotte-Rosenberg-Folketingskandidat-for-Venstre/1442954625922140","Charlotte Rosenberg Folketingskandidat for Venstre",216,44,"11-06-2015"
"Chresten Anker Nielsen","Socialdemokratiet","Fyns Storkreds","https://www.facebook.com/chresten.anker.nielsen","Chresten Anker Nielsen",119,34,"11-06-2015"
"Christen Sørensen","Socialdemokratiet","Østjyllands Storkreds","https://www.facebook.com/christensoerensen45","Christen S�rensen",321,167,"11-06-2015"
"Christian Langballe","Dansk Folkeparti","Vestjyllands Storkreds","https://www.facebook.com/christian.langballe.7","Christian Langballe",1854,633,"11-06-2015"
"Christian Poll","Alternativet","Nordsjællands Storkreds","https://www.facebook.com/christianpollalternativet","Christian Poll - Alternativet",762,324,"11-06-2015"
"Christian Rabjerg Madsen","Socialdemokratiet","Sydjyllands Storkreds","https://www.facebook.com/christian.rabjerg","Christian Rabjerg Madsen",2289,815,"11-06-2015"
"Christian Scharling","Radikale Venstre","Københavns Storkreds","https://www.facebook.com/followscharling","Christian Peter Schmidt-S�rensen Dragsdahl Scharling",1024,217,"11-06-2015"
"Christian Wedell-Neergaard","Det Konservative Folkeparti","Sjællands Storkreds","https://www.facebook.com/stemchristian","Christian Wedell-Neergaard politik",570,81,"11-06-2015"
"Christina Egelund","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/stemegelund","Christina Egelund",7191,2591,"11-06-2015"
"Christine Antorini","Socialdemokratiet","Nordsjællands Storkreds","http://www.facebook.com/antorini","Christine Antorini",20001,2364,"11-06-2015"
"Claus Hermansen","Liberal Alliance","Nordjyllands Storkreds","https://www.facebook.com/claus.hermansen.liberal","Claus Hermansen - Liberal Alliance",402,65,"11-06-2015"
"Claus Hjort Frederiksen","Venstre","Nordsjællands Storkreds","https://www.facebook.com/ClausHjortFrederiksen","Claus Hjort Frederiksen",2422,1130,"11-06-2015"
